Date,Storage(TWh)
2020-01-01,994.9453
2020-01-02,989.6235
2020-01-03,985.1284
2020-01-04,980.9065
2020-01-05,976.4436
2020-01-06,970.54
2020-01-07,964.1834
2020-01-08,958.1935
2020-01-09,952.5372
2020-01-10,947.7198
2020-01-11,942.865
2020-01-12,938.1512
2020-01-13,932.477
2020-01-14,926.5273
2020-01-15,920.5596
2020-01-16,914.3617
2020-01-17,908.0663
2020-01-18,901.7984
2020-01-19,894.9291
2020-01-20,887.2117
2020-01-21,878.534
2020-01-22,869.9594
2020-01-23,861.5652
2020-01-24,853.2052
2020-01-25,846.3214
2020-01-26,840.425
2020-01-27,833.5269
2020-01-28,825.2882
2020-01-29,818.0579
2020-01-30,812.5622
2020-01-31,807.5919
2020-02-01,805.5468
2020-02-02,803.3191
2020-02-03,799.1545
2020-02-04,794.0407
2020-02-05,787.8058
2020-02-06,780.665
2020-02-07,774.8668
2020-02-08,770.3505
2020-02-09,767.1215
2020-02-10,763.2795
2020-02-11,758.0185
2020-02-12,752.3974
2020-02-13,746.4323
2020-02-14,741.5443
2020-02-15,739.2953
2020-02-16,737.6289
2020-02-17,734.0642
2020-02-18,729.7984
2020-02-19,725.0605
2020-02-20,721.1215
2020-02-21,717.0058
2020-02-22,714.5796
2020-02-23,712.6942
2020-02-24,709.2964
2020-02-25,705.7424
2020-02-26,699.9329
2020-02-27,693.7583
2020-02-28,688.6444
2020-02-29,686.2543
2020-03-01,684.3587
2020-03-02,679.4609
2020-03-03,674.6701
2020-03-04,669.4575
2020-03-05,664.5606
2020-03-06,660.4823
2020-03-07,658.413
2020-03-08,656.7644
2020-03-09,652.9241
2020-03-10,650.206
2020-03-11,648.5719
2020-03-12,647.1269
2020-03-13,644.4851
2020-03-14,642.8412
2020-03-15,642.277
2020-03-16,640.3144
2020-03-17,638.9513
2020-03-18,637.8341
2020-03-19,636.7046
2020-03-20,636.1143
2020-03-21,636.6722
2020-03-22,635.7275
2020-03-23,632.9782
2020-03-24,630.3091
2020-03-25,627.3276
2020-03-26,624.5714
2020-03-27,623.0789
2020-03-28,622.7343
2020-03-29,621.6017
2020-03-30,619.3996
2020-03-31,615.8062
2020-04-01,616.8787
2020-04-02,616.8513
2020-04-03,616.9061
2020-04-04,618.651
2020-04-05,621.1582
2020-04-06,623.3844
2020-04-07,625.8642
2020-04-08,628.925
2020-04-09,632.5731
2020-04-10,636.4942
2020-04-11,640.8174
2020-04-12,645.9644
2020-04-13,649.0719
2020-04-14,652.0928
2020-04-15,654.4831
2020-04-16,657.712
2020-04-17,661.1824
2020-04-18,665.5218
2020-04-19,670.0005
2020-04-20,673.0792
2020-04-21,676.9208
2020-04-22,674.0614
2020-04-23,684.3271
2020-04-24,688.3671
2020-04-25,692.5996
2020-04-26,696.6012
2020-04-27,699.9373
2020-04-28,702.8977
2020-04-29,706.438
2020-04-30,709.9297
2020-05-01,716.2604
2020-05-02,720.3377
2020-05-03,724.3343
2020-05-04,727.9681
2020-05-05,731.2534
2020-05-06,734.5208
2020-05-07,738.2356
2020-05-08,742.8921
2020-05-09,748.4553
2020-05-10,753.1237
2020-05-11,756.8306
2020-05-12,758.4621
2020-05-13,760.6326
2020-05-14,763.0521
2020-05-15,765.7442
2020-05-16,769.8684
2020-05-17,774.4521
2020-05-18,778.3039
2020-05-19,781.6641
2020-05-20,784.2667
2020-05-21,788.4556
2020-05-22,793.4565
2020-05-23,798.3186
2020-05-24,802.7048
2020-05-25,806.4038
2020-05-26,809.4891
2020-05-27,811.7655
2020-05-28,814.4393
2020-05-29,817.2837
2020-05-30,820.9301
2020-05-31,824.7736
2020-06-01,828.472
2020-06-02,831.3015
2020-06-03,834.1006
2020-06-04,837.0602
2020-06-05,840.0774
2020-06-06,843.8851
2020-06-07,847.7299
2020-06-08,850.1192
2020-06-09,851.8144
2020-06-10,853.5921
2020-06-11,856.2025
2020-06-12,859.2267
2020-06-13,863.3108
2020-06-14,867.319
2020-06-15,869.5235
2020-06-16,871.616
2020-06-17,873.5957
2020-06-18,875.9147
2020-06-19,878.4603
2020-06-20,882.2541
2020-06-21,886.3549
2020-06-22,889.3315
2020-06-23,891.8868
2020-06-24,894.2662
2020-06-25,896.6595
2020-06-26,899.5159
2020-06-27,903.3443
2020-06-28,907.4189
2020-06-29,910.2987
2020-06-30,911.4124
2020-07-01,914.889
2020-07-02,917.0613
2020-07-03,920.3976
2020-07-04,924.6604
2020-07-05,929.0343
2020-07-06,931.395
2020-07-07,932.8199
2020-07-08,933.9476
2020-07-09,935.1672
2020-07-10,937.2954
2020-07-11,940.8834
2020-07-12,945.0734
2020-07-13,948.0108
2020-07-14,948.903
2020-07-15,948.5719
2020-07-16,949.3386
2020-07-17,950.202
2020-07-18,951.6459
2020-07-19,953.5801
2020-07-20,954.5264
2020-07-21,954.8536
2020-07-22,955.3475
2020-07-23,955.8466
2020-07-24,956.659
2020-07-25,957.2473
2020-07-26,960.686
2020-07-27,963.0305
2020-07-28,966.0989
2020-07-29,968.1498
2020-07-30,969.8782
2020-07-31,968.2178
2020-08-01,974.3948
2020-08-02,977.6267
2020-08-03,979.7741
2020-08-04,981.8453
2020-08-05,983.6366
2020-08-06,985.7305
2020-08-07,988.1902
2020-08-08,991.5143
2020-08-09,995.1531
2020-08-10,996.5017
2020-08-11,999.1492
2020-08-12,1001.2839
2020-08-13,1003.3717
2020-08-14,1005.9104
2020-08-15,1008.992
2020-08-16,1012.2902
