Date,LNG_sendout(GWh/d)
2020-03-07,3443.5
2020-03-08,3302.2
2020-03-09,3886.2
2020-03-10,3690.8
2020-03-11,3692.1
2020-03-12,3573.7
2020-03-13,3488.8
2020-03-14,3007.6
2020-03-15,2932.5
2020-03-16,3630.9
2020-03-17,3338.3
2020-03-18,3408.9
2020-03-19,3670.8
2020-03-20,3575.6
2020-03-21,3300.7
2020-03-22,3173.5
2020-03-23,3472.5
2020-03-24,3101.1
2020-03-25,3110.2
2020-03-26,3216.9
2020-03-27,3294.6
2020-03-28,2927.2
2020-03-29,3194.8
2020-03-30,3523.0
2020-03-31,3442.1
2020-04-01,3736.9
2020-04-02,3633.2
2020-04-03,3654.8
2020-04-04,3207.9
2020-04-05,3094.2
2020-04-06,3345.2
2020-04-07,3371.3
2020-04-08,3555.0
2020-04-09,3478.9
2020-04-10,3372.8
2020-04-11,3222.8
2020-04-12,3209.3
2020-04-13,3331.6
2020-04-14,3658.3
2020-04-15,3491.5
2020-04-16,3570.1
2020-04-17,3489.2
2020-04-18,3475.3
2020-04-19,3388.8
2020-04-20,3721.7
2020-04-21,3755.3
2020-04-22,3786.7
2020-04-23,3788.9
2020-04-24,3773.2
2020-04-25,3398.0
2020-04-26,3362.1
2020-04-27,3708.9
2020-04-28,3663.3
2020-04-29,3677.7
2020-04-30,3569.3
2020-05-01,3059.9
2020-05-02,3165.2
2020-05-03,3176.9
2020-05-04,3412.6
2020-05-05,3464.8
2020-05-06,3795.5
2020-05-07,3714.6
2020-05-08,3655.7
2020-05-09,3606.3
2020-05-10,3528.5
2020-05-11,3711.4
2020-05-12,3774.9
2020-05-13,3815.8
2020-05-14,3792.2
2020-05-15,3726.9
2020-05-16,3385.1
2020-05-17,3427.6
2020-05-18,3832.3
2020-05-19,3479.8
2020-05-20,3677.0
2020-05-21,3609.6
2020-05-22,3737.4
2020-05-23,3330.0
2020-05-24,3114.1
2020-05-25,3555.3
2020-05-26,3407.9
2020-05-27,2784.7
2020-05-28,2977.2
2020-05-29,2974.5
2020-05-30,2731.4
2020-05-31,2790.2
2020-06-01,2412.8
2020-06-02,2598.1
2020-06-03,2526.7
2020-06-04,2621.5
2020-06-05,2413.0
2020-06-06,2364.4
2020-06-07,2595.9
2020-06-08,2909.0
2020-06-09,2667.8
2020-06-10,2580.4
2020-06-11,2484.2
2020-06-12,2409.0
2020-06-13,2273.4
