Date,Berlin_HDD,London_HDD,Rome_HDD,Berlin_CDD,London_CDD,Rome_CDD
2020-01-01,16.9,13.0,13.6,0.0,0.0,0.0
2020-01-02,18.5,9.8,12.5,0.0,0.0,0.0
2020-01-03,14.0,10.1,12.2,0.0,0.0,0.0
2020-01-04,14.0,13.6,10.8,0.0,0.0,0.0
2020-01-05,17.0,12.2,11.2,0.0,0.0,0.0
2020-01-06,14.3,10.8,13.6,0.0,0.0,0.0
2020-01-07,15.8,9.4,14.7,0.0,0.0,0.0
2020-01-08,12.4,7.1,11.8,0.0,0.0,0.0
2020-01-09,10.2,7.199999999999999,13.0,0.0,0.0,0.0
2020-01-10,8.9,12.5,11.4,0.0,0.0,0.0
2020-01-11,13.2,9.4,11.1,0.0,0.0,0.0
2020-01-12,14.8,8.9,11.7,0.0,0.0,0.0
2020-01-13,12.3,10.0,11.8,0.0,0.0,0.0
2020-01-14,10.8,7.9,9.7,0.0,0.0,0.0
2020-01-15,7.800000000000001,9.5,11.5,0.0,0.0,0.0
2020-01-16,11.4,8.9,11.9,0.0,0.0,0.0
2020-01-17,13.9,10.4,11.6,0.0,0.0,0.0
2020-01-18,12.7,15.2,9.3,0.0,0.0,0.0
2020-01-19,14.6,17.0,10.5,0.0,0.0,0.0
2020-01-20,16.0,17.0,9.4,0.0,0.0,0.0
2020-01-21,16.0,17.9,10.5,0.0,0.0,0.0
2020-01-22,14.8,13.0,10.5,0.0,0.0,0.0
2020-01-23,15.6,11.9,10.7,0.0,0.0,0.0
2020-01-24,17.9,12.1,9.7,0.0,0.0,0.0
2020-01-25,17.2,12.3,6.5,0.0,0.0,0.0
2020-01-26,17.9,9.9,8.6,0.0,0.0,0.0
2020-01-27,13.7,11.2,9.6,0.0,0.0,0.0
2020-01-28,12.5,13.7,6.1,0.0,0.0,0.0
2020-01-29,14.4,13.1,6.800000000000001,0.0,0.0,0.0
2020-01-30,13.1,8.8,9.1,0.0,0.0,0.0
2020-01-31,8.9,7.6,6.1,0.0,0.0,0.0
2020-02-01,7.5,8.3,6.1,0.0,0.0,0.0
2020-02-02,10.7,8.2,5.0,0.0,0.0,0.0
2020-02-03,10.9,9.0,4.1,0.0,0.0,0.0
2020-02-04,13.0,11.9,4.699999999999999,0.0,0.0,0.0
2020-02-05,15.4,14.0,10.1,0.0,0.0,0.0
2020-02-06,14.1,15.2,11.1,0.0,0.0,0.0
2020-02-07,12.5,13.5,12.9,0.0,0.0,0.0
2020-02-08,13.5,9.2,11.7,0.0,0.0,0.0
2020-02-09,9.9,7.9,9.7,0.0,0.0,0.0
2020-02-10,10.4,11.1,6.0,0.0,0.0,0.0
2020-02-11,13.6,13.2,4.199999999999999,0.0,0.0,0.0
2020-02-12,14.2,13.3,6.800000000000001,0.0,0.0,0.0
2020-02-13,14.5,11.1,7.9,0.0,0.0,0.0
2020-02-14,14.0,11.6,5.800000000000001,0.0,0.0,0.0
2020-02-15,12.8,6.800000000000001,8.8,0.0,0.0,0.0
2020-02-16,6.699999999999999,7.9,8.5,0.0,0.0,0.0
2020-02-17,8.1,10.7,8.8,0.0,0.0,0.0
2020-02-18,11.5,11.4,7.6,0.0,0.0,0.0
2020-02-19,13.1,12.6,7.9,0.0,0.0,0.0
2020-02-20,13.8,10.3,8.5,0.0,0.0,0.0
2020-02-21,12.1,10.9,9.8,0.0,0.0,0.0
2020-02-22,10.1,7.4,8.7,0.0,0.0,0.0
2020-02-23,11.4,7.699999999999999,8.1,0.0,0.0,0.0
2020-02-24,13.0,8.9,6.0,0.0,0.0,0.0
2020-02-25,10.0,12.4,5.199999999999999,0.0,0.0,0.0
2020-02-26,15.2,14.4,5.800000000000001,0.0,0.0,0.0
2020-02-27,15.4,14.5,9.2,0.0,0.0,0.0
2020-02-28,15.1,12.6,5.699999999999999,0.0,0.0,0.0
2020-02-29,11.6,10.5,8.3,0.0,0.0,0.0
2020-03-01,11.2,11.9,4.9,0.0,0.0,0.0
2020-03-02,12.1,12.7,4.800000000000001,0.0,0.0,0.0
2020-03-03,13.6,13.5,7.0,0.0,0.0,0.0
2020-03-04,14.4,14.0,9.1,0.0,0.0,0.0
2020-03-05,13.6,12.6,9.2,0.0,0.0,0.0
2020-03-06,12.7,13.3,5.5,0.0,0.0,0.0
2020-03-07,13.5,11.2,8.2,0.0,0.0,0.0
2020-03-08,12.9,8.6,8.3,0.0,0.0,0.0
2020-03-09,11.0,10.8,9.3,0.0,0.0,0.0
2020-03-10,12.5,5.699999999999999,8.2,0.0,0.0,0.0
2020-03-11,8.4,7.1,7.300000000000001,0.0,0.0,0.0
2020-03-12,8.4,10.6,5.9,0.0,0.0,0.0
2020-03-13,12.1,11.0,5.300000000000001,0.0,0.0,0.0
2020-03-14,15.3,9.2,5.0,0.0,0.0,0.0
2020-03-15,13.0,8.9,5.6,0.0,0.0,0.0
2020-03-16,10.1,11.7,6.699999999999999,0.0,0.0,0.0
2020-03-17,9.9,9.6,6.6,0.0,0.0,0.0
2020-03-18,7.6,7.0,6.1,0.0,0.0,0.0
2020-03-19,8.0,10.4,5.699999999999999,0.0,0.0,0.0
2020-03-20,11.2,11.3,5.699999999999999,0.0,0.0,0.0
2020-03-21,14.3,11.6,6.0,0.0,0.0,0.0
2020-03-22,17.0,12.1,4.9,0.0,0.0,0.0
2020-03-23,18.2,12.6,8.7,0.0,0.0,0.0
2020-03-24,17.3,12.1,12.6,0.0,0.0,0.0
2020-03-25,15.9,12.4,11.7,0.0,0.0,0.0
2020-03-26,13.9,12.6,10.9,0.0,0.0,0.0
2020-03-27,10.1,11.3,7.9,0.0,0.0,0.0
2020-03-28,10.8,11.3,7.1,0.0,0.0,0.0
2020-03-29,15.1,13.3,6.300000000000001,0.0,0.0,0.0
2020-03-30,18.2,12.7,6.300000000000001,0.0,0.0,0.0
2020-03-31,17.3,12.2,7.0,0.0,0.0,0.0
2020-04-01,14.9,13.8,10.5,0.0,0.0,0.0
