Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu),USD-EUR_FX,VIX,EU+UK Fossil gas,EU+UK Fossil oil,EU+UK Coal,EU+UK Hydro_gen,EU+UK Nuclear,EU+UK Others,EU+UK Residual load,EU+UK Production(bcm),EU+UK Electricity(bcm),EU+UK Total(bcm),EU+UK Non_power(bcm),EU+UK Stock_change(bcm),EU+UK Distribution_loss(bcm),EU+UK Total_adj(bcm),EU+UK Net_piped(bcm),EU+UK LNG_sendout(bcm),EU+UK Net_supply,EU+UK_av_storage(bcm),EU+UK Calc_storage_change,EU+UK Act_storage_change,EU+UK Diff_storage_changes,Norway_gas_prod,Norway_supply_red,Norway_planned_outage,Norway_unplanned_outage,Europe_HDD,Europe_CDD,EU_wind_speed,US_GWDD,NE_Asia_GWDD,EU_solar,Nordic_precip,Atlantic_ACE,Gulf_storm_days,EU_wind_speed_anomaly,US_GWDD_anomaly,NE_Asia_GWDD_anomaly,EU_solar_anomaly,Nordic_precip_anomaly,Atlantic_ACE_anomaly,Global LNG nameplate capacity,Global LNG capacity offline,CH+JP+KR LNG imports,EU+UK LNG imports,EG LNG imports,IN LNG imports,QA+AU+US LNG exports,ID+MY+BN LNG exports,NG LNG exports
2015-01-01,8.99428575379508,2.929350030422211,6.783317242202431,1.1659787622365083,19.119499969482423,27479.109879032258,1660.0664650537633,69024.84852150538,27745.912836021507,64247.46700268817,23143.105801018075,181589.98091397848,17.469,5.798,55.776,49.978,-15.741,0.364,56.173478737042636,19.102904761904764,3.5428571428571427,39.75076190476191,71.27325714285715,-16.422716832280727,-17.74260952380952,-1.3198926915287927,330.9,19.7,17.6,52.8,1202.4,0.0,11.328,32.466,14.727,5.108,154.67,0.0,0,1.123,3.065,-0.476,0.242,11.643,-0.609,298.27,26.7,19092.0,4007.0,0,1074.64,15242.0,5361.1799999999885,3138
2015-02-01,7.169999949137369,2.754947361193205,7.494766767740529,1.1355303823947906,15.904210492184289,29126.92001488095,1830.3737351190478,72160.86547619048,32331.976264880952,58051.90052083333,23706.8,188171.76443452385,15.724,6.593999999999999,51.439,44.845,-15.736,0.336,51.80648566077286,17.140142857142855,3.2,35.728142857142856,53.53064761904763,-16.07834280363,-18.242047619047625,-2.163704815417624,358.4,0.0,0.0,0.0,1151.5,0.0,9.151,36.406,13.769,8.066,100.39,0.0,0,-1.12,9.159,0.156,-0.034,-5.181,0.0,298.27,26.7,17395.4,3916.0,0,857.87,14207.0,5394.359999999989,2427
2015-03-01,7.4636110994550915,2.746909098191695,6.948688884228896,1.0845803510059009,14.812727277929133,24266.697782258063,1378.078561827957,65836.40981182795,30165.633467741936,52803.48655913978,23490.850268817205,170661.28072237477,13.854,5.542,45.44,39.897999999999996,-7.882,0.364,45.76103099009354,17.97890476190476,4.325757714285714,35.794662476190474,35.2886,-9.966368513903063,-8.436371428571434,1.5299970853316296,350.1,0.5,0.8,0.8,978.1,0.0,9.557,23.336,9.505,12.66,109.91,0.0,0,0.573,3.354,0.674,0.208,10.481,0.0,298.27,26.7,17576.8,4658.0,0,823.28,13808.0,5361.29999999999,2739
2015-04-01,7.193611145019531,2.5913333211626326,6.999473288396421,1.0796655904163013,13.494761875697543,20709.768819444445,1390.3240277777777,58162.682291666664,27053.969999999998,47907.31736111111,21868.152222222227,152638.7448611111,10.318,4.696,33.304,28.607999999999997,0.455,0.3,33.541125551437375,17.821047619047622,3.614704761904762,31.453752380952384,26.85222857142857,-2.087373170484991,1.6895619047619128,3.7769350752469038,260.8,89.8,265.2,56.3,681.9000000000001,0.0,7.277,12.618,4.929,18.805,84.62,0.0,0,-0.715,-0.231,0.499,0.965,4.342,-0.081,298.27,33.4,15026.2,4244.0,91,1139.72,14831.0,5384.76,2897
2015-05-01,7.350666681925456,2.8559500098228456,6.711971176676845,1.1165892566953386,13.3385000705719,18942.049196290114,1475.5378086453793,48408.64946082152,30613.47416264769,44736.94720027198,22203.04012290392,142421.16686827957,9.427,4.337,26.775,22.438,7.264,0.295,26.96150209089202,18.69247619047619,3.6944285714285714,31.518904761904757,28.54179047619048,4.557402671012738,10.91124761904761,6.353844948034872,280.1,70.5,225.4,27.0,354.8,0.3000000000000007,8.577,7.23,3.179,21.503,112.8,2.28,0,1.186,-0.736,-0.079,0.381,34.298,1.451,298.27,33.4,13575.6,4379.0,392,1076.89,14242.8666666666,4638.18,3028
2015-06-01,7.4319443172878685,2.769227266311645,6.734622497030962,1.121451047333804,14.33954551003196,21019.566062352245,1127.5624468085107,54509.0936997636,28743.86769355792,45845.06505614657,21582.428331855794,149031.541875,9.066,4.5440000000000005,23.817,19.273,8.363,0.297,23.984528971440245,17.45704761904762,3.245076190476191,29.471123809523814,39.45303809523809,5.486594838083569,10.18085714285715,4.694262304773581,275.5,75.1,238.5,30.3,135.90000000000003,32.400000000000006,7.46,8.435,5.377,22.794,104.28,1.315,2,0.523,-0.372,-0.506,-0.458,2.124,-1.635,300.27,33.4,14132.0,3500.0,375,1826.78,15160.7333333333,5159.82,2869
2015-07-01,7.645277712080214,2.808090914379467,6.7243990267299525,1.0998873192331065,14.35272723978216,25574.904032258062,1446.5889784946235,58287.170497311825,24223.248924731182,46446.98158602151,21985.401612903224,153232.6237903226,8.087,6.263999999999999,24.164,17.9,10.409,0.328,24.337466079958475,19.85447619047619,3.2641619047619046,30.877638095238094,49.63389523809524,6.540172015279619,12.646476190476186,6.106304175196566,310.7,39.8,117.2,25.4,53.4,202.0,7.811,11.528,7.869,23.309,139.59,1.13,0,0.717,-0.662,-0.991,0.094,4.692,-9.072,300.27,33.4,14759.4,3693.0,407,1593.93,15843.6,5126.7,3057
2015-08-01,7.905312478542328,2.7534762110028947,6.387315363312449,1.1136188052949452,19.42809536343529,22765.29805107527,1781.2387768817202,56779.62634408602,22370.035147849463,46168.74536290322,21803.716330645162,145513.99307795698,8.111,5.9399999999999995,22.277,16.337,9.756,0.375,22.434448700862536,18.12409523809524,3.3946476190476194,29.25474285714286,62.28037142857143,6.8202941562803225,11.607638095238102,4.787343938957779,310.8,39.7,133.3,9.0,39.2,166.2,7.222,11.277,8.155,19.833,81.07,15.828,0,0.075,0.087,-0.921,-0.284,-60.372,-5.783,300.27,33.4,15382.8,3896.0,434,1471.84,16117.4666666666,4766.52,2798
2015-09-01,7.168529426350313,2.6389047418321883,6.312378915031748,1.1235178329727866,24.3771428607759,25473.879620271862,1976.7351920803783,61211.57436465721,20777.508806146572,46216.36490691489,23799.28418144208,152250.249375,9.18,5.993,26.418,20.425,8.748,0.303,26.60427144063304,19.601380952380953,3.3906190476190474,31.868999999999996,73.88800952380953,5.264728559366958,8.29191428571427,3.0271857263473123,310.0,40.5,138.9,6.2,237.0,30.9,7.662,8.227,4.228,14.088,84.43,12.308,0,-0.031,0.495,-1.247,-0.93,-46.35,-61.687,304.17,33.4,15554.2,3798.0,364,1815.3,15767.3333333333,4639.559999999999,2973
2015-10-01,6.86941177704755,2.385045463388616,5.99998698748595,1.1229816566814077,16.789545449343596,28123.92617250057,1822.4409731754747,66147.64107326699,22839.98701956074,50082.65652882635,19610.646481068405,163842.38823924732,10.836,6.765000000000001,36.201,29.435999999999996,1.964,0.349,36.461617707444745,20.53690476190476,3.8966190476190476,34.920523809523814,82.1799238095238,-1.5410938979209305,1.7094857142857194,3.25057961220665,347.5,3.0,9.3,1.5,530.0,0.0,7.357,9.226,3.192,8.764,62.27,29.0,0,-1.718,-0.043,-0.752,-0.532,-70.615,-6.348,304.17,33.4,15017.6,4464.0,378,1833.09,16455.2,5829.12,2973
2015-11-01,7.360624998807907,2.279850006103516,5.412417650622073,1.0749225275857108,16.209999990463256,30338.138541666667,1719.9279861111113,62066.94402777778,21224.679375,51519.031180555554,19116.42326388889,164366.4363888889,12.219,7.970000000000001,41.846999999999994,33.876999999999995,-4.14,0.351,42.144957421593205,19.284095238095237,3.4114285714285715,34.56352380952381,83.88940952380952,-7.581433612069397,-5.662485714285708,1.9189478977836885,352.9,0.0,0.0,0.0,730.2,0.0,11.348,15.021,7.721,6.216,122.86,3.655,0,1.939,-2.485,-0.278,0.642,15.093,-5.843,304.17,33.4,15732.0,4144.0,536,1769.98,16508.0666666666,5727.0,3055
