date,corridor_ES,point_Tarifa
2024-01-01,27.851248,27.851248
2024-01-02,28.051818,28.051818
2024-01-03,27.802706,27.802706
2024-01-04,28.141568,28.141568
2024-01-05,27.999912,27.999912
2024-01-06,27.81075,27.81075
2024-01-07,28.160822,28.160822
2024-01-08,27.759333,27.759333
2024-01-09,28.302094,28.302094
2024-01-10,28.109602,28.109602
2024-01-11,27.781264,27.781264
2024-01-12,27.85318,27.85318
2024-01-13,28.169028,28.169028
2024-01-14,27.888161,27.888161
2024-01-15,28.148541,28.148541
2024-01-16,28.154256,28.154256
2024-01-17,28.0192,28.0192
2024-01-18,28.376524,28.376524
2024-01-19,28.015871,28.015871
2024-01-20,27.944967,27.944967
2024-01-21,27.995965,27.995965
2024-01-22,28.16138,28.16138
2024-01-23,28.401599,28.401599
2024-01-24,28.358993,28.358993
2024-01-25,20.945604,20.945604
2024-01-26,33.992317,33.992317
2024-01-27,29.744625,29.744625
2024-01-28,27.862155,27.862155
2024-01-29,28.174779,28.174779
2024-01-30,28.377619,28.377619
2024-01-31,28.080198,28.080198
2024-02-01,16.113197,16.113197
2024-02-02,15.674574,15.674574
2024-02-03,15.846787,15.846787
2024-02-04,16.157711,16.157711
2024-02-05,16.491684,16.491684
2024-02-06,15.597431,15.597431
2024-02-07,16.417765,16.417765
2024-02-08,16.059021,16.059021
2024-02-09,16.108634,16.108634
2024-02-10,16.131496,16.131496
2024-02-11,16.247659,16.247659
2024-02-12,16.047404,16.047404
2024-02-13,16.097331,16.097331
2024-02-14,16.036345,16.036345
2024-02-15,15.713978,15.713978
2024-02-16,16.047939,16.047939
2024-02-17,16.003367,16.003367
2024-02-18,16.011329,16.011329
2024-02-19,15.907156,15.907156
2024-02-20,15.893269,15.893269
2024-02-21,16.06781,16.06781
2024-02-22,16.099938,16.099938
2024-02-23,15.867485,15.867485
2024-02-24,16.055261,16.055261
2024-02-25,15.836532,15.836532
2024-02-26,14.240529,14.240529
2024-02-27,18.30183,18.30183
2024-02-28,12.574938,12.574938
2024-02-29,18.819505,18.819505
2024-03-01,17.242477,17.242477
2024-03-02,15.962031,15.962031
2024-03-03,16.224564,16.224564
2024-03-04,16.303954,16.303954
2024-03-05,15.949459,15.949459
2024-03-06,16.261139,16.261139
2024-03-07,16.422515,16.422515
2024-03-08,15.392065,15.392065
2024-03-09,15.499731,15.499731
2024-03-10,15.520451,15.520451
2024-03-11,15.843668,15.843668
2024-03-12,18.424337,18.424337
2024-03-13,16.151286,16.151286
2024-03-14,28.078196,28.078196
2024-03-15,28.031365,28.031365
2024-03-16,27.904434,27.904434
2024-03-17,27.887323,27.887323
2024-03-18,27.865694,27.865694
2024-03-19,27.891699,27.891699
2024-03-20,27.95208,27.95208
2024-03-21,27.898416,27.898416
2024-03-22,28.023461,28.023461
2024-03-23,27.938251,27.938251
2024-03-24,27.609481,27.609481
2024-03-25,28.285692,28.285692
2024-03-26,28.254401,28.254401
2024-03-27,27.760869,27.760869
2024-03-28,27.897462,27.897462
2024-03-29,27.75243,27.75243
2024-03-30,27.987398,27.987398
