date,corridor_BY,corridor_DE,corridor_DZ,corridor_LY,corridor_MA,corridor_NO,corridor_RU-Baltic,corridor_TR,corridor_UA,point_Almería,point_Dornum / NETRA (OGE),point_Dunkerque,point_Easington,point_Emden (EPT1) (GTS),point_Emden (EPT1) (GUD),point_Emden (EPT1) (OGE),point_GCP GAZ-SYSTEM/UA TSO,point_Gela,point_Greifswald / NEL,point_Greifswald / OPAL,point_Isaccea (RO) - Orlovka (UA) II,point_Kipi (TR) / Kipi (GR),point_Kipoi,point_Kondratki,point_Kotlovka,point_Luhamaa,point_Mazara del Vallo,point_Narva,point_St. Fergus,point_Strandzha 2 (BG) / Malkoclar (TR),point_Tarifa,point_Tieterowka,point_Uzhhorod (UA) - Velké Kapušany (SK),point_VIP Bereg (HU) / VIP Bereg (UA),point_VIP Mediesu Aurit - Isaccea (RO-UA),point_Värska,point_Wysokoje,point_Zeebrugge ZPT
2023-01-01,46.534479,0.0,920.115409,76.355755,0.0,4060.5068562,0.0,635.100318,434.98992325,306.960269,649.3273722,413.935627,795.314291,304.2087979,305.887512,348.7193121,26.35140342,76.355755,0.0,0.0,0.0,0.0,368.641102,0.0,46.534479,0.0,613.15514,0.0,767.52343,266.459216,0.0,0.0,392.188564,16.44995583,0.0,0.0,0.0,475.590514
2023-01-02,50.644031,0.0,826.645135,92.979611,0.0,4059.0316494,0.0,635.396008,430.50614563,308.816514,652.1476719,411.470375,832.097568,265.3604583,306.521026,351.4621672,26.76711572,92.979611,0.0,0.0,0.0,5.008044,368.776695,0.0,50.644031,0.0,517.828621,0.0,763.800389,261.611269,0.0,0.0,391.024778,12.71425191,0.0,0.0,0.0,476.171994
2023-01-03,50.082734,0.0,826.443731,93.258358,0.0,4035.5724853,0.0,638.382096,462.94147519999996,308.670115,619.591353,475.665032,730.559477,306.85426739999997,309.889497,349.91753289999997,24.068787739999998,93.258358,0.0,0.0,0.0,5.009255,369.012197,0.0,50.082734,0.0,517.773616,0.0,766.459376,264.360644,0.0,0.0,395.727221,43.14546646,0.0,0.0,0.0,476.63595
2023-01-04,54.113088,0.0,854.704467,92.459214,0.0,3936.6244425,0.0,645.972171,410.30538393,309.378593,568.1260836,503.751528,695.999677,218.01311669999998,311.89347,407.08043119999996,31.65051575,92.459214,0.0,0.0,0.0,5.007293,374.319648,0.0,54.113088,0.0,545.325874,0.0,754.011686,266.64523,0.0,0.0,353.643477,25.01139118,0.0,0.0,0.0,477.74845
2023-01-05,65.921957,0.0,768.503058,33.217646,0.0,4025.3181786,0.0,626.185124,430.27210808,293.244639,602.8511947000001,512.559888,817.131516,241.1049293,326.635618,355.3758196,32.51140958,33.217646,0.0,0.0,0.0,5.009812,354.644804,0.0,65.921957,0.0,475.258419,0.0,690.958763,266.530508,0.0,0.0,344.748653,53.0120455,0.0,0.0,0.0,478.70045
2023-01-06,90.98787,0.0,813.231755,10.904238,0.0,4024.861143,0.0,633.594736,402.44775408000004,292.385363,625.9533667000001,534.159553,742.034905,276.29348830000004,314.392596,362.129194,31.21699627,10.904238,0.0,0.0,0.0,5.003543,354.670549,0.0,90.98787,0.0,520.846392,0.0,691.318279,273.920644,0.0,0.0,319.027914,52.202843810000005,0.0,0.0,0.0,478.579761
2023-01-07,94.107381,0.0,828.5625500000001,43.804974,0.0,3967.6379553,0.0,597.776278,393.19340691,291.729077,639.3914395,464.537244,778.498132,251.5803253,319.752819,366.1323645,28.17483518,43.804974,0.0,0.0,0.0,0.0,351.633034,0.0,94.107381,0.0,536.833473,0.0,671.272809,246.143244,0.0,0.0,319.414374,45.604197729999996,0.0,0.0,0.0,476.472822
2023-01-08,91.855423,0.0,812.8938880000001,43.703638,0.0,3962.4492724,0.0,604.623014,380.13801362000004,282.915415,639.4668296,452.429176,800.186448,219.858595,322.28787,395.3013748,26.7499028,43.703638,0.0,0.0,0.0,0.0,351.297892,0.0,91.855423,0.0,529.978473,0.0,654.444207,253.325122,0.0,0.0,319.226671,34.16143982,0.0,0.0,0.0,478.474772
2023-01-09,88.951127,0.0,845.174841,87.35028,0.0,4045.3980863,0.0,619.544575,373.71285409999996,286.375066,622.4311849,476.804082,859.145878,242.6110228,322.626162,390.86072160000003,32.14857519,87.35028,0.0,0.0,0.0,0.0,350.174612,0.0,88.951127,0.0,558.799775,0.0,654.419802,269.369963,0.0,0.0,319.425706,22.13857291,0.0,0.0,0.0,476.499233
2023-01-10,89.926246,0.0,760.588829,87.739657,0.0,4028.3360111,0.0,628.054911,380.93369207,286.842936,619.7682506,499.223167,849.546978,250.5383156,277.446909,428.24912489999997,27.494755859999998,87.739657,0.0,0.0,0.0,0.0,348.517139,0.0,89.926246,0.0,473.745893,0.0,625.028841,279.537772,0.0,0.0,318.416625,35.02231121,0.0,0.0,0.0,478.534425
2023-01-11,83.684899,0.0,746.229814,87.591556,0.0,3947.9572827,0.0,640.960695,381.31792601999996,287.037173,595.6342804,509.590043,781.310015,242.1791361,299.29251,414.12280419999996,22.22837963,87.591556,0.0,0.0,0.0,0.0,339.878857,0.0,83.684899,0.0,459.192641,0.0,629.344822,301.081838,0.0,0.0,317.943542,41.146004389999995,0.0,0.0,0.0,476.483672
2023-01-12,75.576847,0.0,750.974503,87.713588,0.0,3959.328755579,0.0,642.187013,379.30403662000003,286.897919,628.9597292999999,528.915032,768.504959,619.6731565,314.951527,0.43990877899999997,26.787066030000002,87.713588,0.0,0.0,0.0,0.0,340.501027,0.0,75.576847,0.0,464.076584,0.0,621.606857,301.685986,0.0,0.0,318.610966,33.90600459,0.0,0.0,0.0,476.277586
2023-01-13,71.813002,0.0,732.598154,87.705517,0.0,3954.9962478,0.0,614.348945,368.98129778,269.697583,618.394392,513.022747,801.665018,621.7675638,299.144731,0.0,27.633240649999998,87.705517,0.0,0.0,0.0,0.0,315.459959,0.0,71.813002,0.0,462.900571,0.0,622.000293,298.888986,0.0,0.0,316.679058,24.66899913,0.0,0.0,0.0,479.001503
2023-01-14,77.189838,0.0,744.004591,71.321096,0.0,3979.0797514,0.0,584.940259,370.25164527999993,268.725929,680.6216628,426.305082,840.004055,599.9052776,316.512018,0.0,26.78011103,71.321096,0.0,0.0,0.0,0.0,316.121543,0.0,77.189838,0.0,475.278662,0.0,636.059217,268.818716,0.0,0.0,319.484521,23.98701325,0.0,0.0,0.0,479.672439
2023-01-15,75.692912,0.0,746.156253,71.388849,0.0,4013.6724452999997,0.0,568.40989,363.05186186,270.992743,670.9931468,361.189637,881.86565,409.0683103,290.314217,252.05397119999998,26.42435556,71.388849,0.0,0.0,0.0,0.0,315.93701,0.0,75.692912,0.0,475.16351,0.0,668.627624,252.47288,0.0,0.0,319.361501,17.2660053,0.0,0.0,0.0,479.559889
2023-01-16,81.459932,0.0,764.3839029999999,82.300327,0.0,3990.1281462,0.0,606.830602,369.94787768,271.240164,655.430196,362.266419,887.126409,343.0764458,314.482073,277.9191414,26.24230143,82.300327,0.0,0.0,0.0,0.0,339.864014,0.0,81.459932,0.0,493.143739,0.0,670.211904,266.966588,0.0,0.0,318.572578,25.13299825,0.0,0.0,0.0,479.615558
2023-01-17,77.626824,0.0,766.628389,82.157011,0.0,3843.1349027,0.0,598.7901830000001,349.81066387,271.384906,669.5829577999999,400.551044,814.965581,332.0483005,319.267442,279.9117654,27.07438491,82.157011,0.0,0.0,0.0,0.0,340.094853,0.0,77.626824,0.0,495.243483,0.0,548.088879,258.69533,0.0,0.0,289.723275,33.01300396,0.0,0.0,0.0,478.718933
2023-01-18,74.309971,0.0,824.4864729999999,60.600638,0.0,3806.11722,0.0,593.159954,336.14966208,271.660859,645.2249898,351.222929,797.23844,335.1660475,299.380832,295.9364327,26.644406460000003,60.600638,0.0,0.0,0.0,0.0,345.357243,0.0,74.309971,0.0,552.825614,0.0,602.718805,247.802711,0.0,0.0,293.815232,15.690023619999998,0.0,0.0,0.0,479.228744
2023-01-19,85.208339,0.0,814.817321,65.822927,0.0,3806.3470703,0.0,590.65622,260.39041351000003,271.5358,644.743164,352.630192,761.288332,289.62005619999996,321.193914,325.3465061,26.659865879999998,65.822927,0.0,0.0,0.0,0.0,343.136054,0.0,85.208339,0.0,543.281521,0.0,631.712031,247.520166,0.0,0.0,207.131542,26.599005629999997,0.0,0.0,0.0,479.812875
2023-01-20,87.704293,0.0,797.696609,92.99818,0.0,3804.2757549,0.0,619.8921869999999,237.41865682,271.159181,644.8157885,277.580005,813.796792,333.862983,294.404262,340.3187974,20.130412120000003,92.99818,0.0,0.0,0.0,0.0,341.419801,0.0,87.704293,0.0,526.537428,0.0,620.152652,278.472386,0.0,0.0,212.079244,5.209000700000001,0.0,0.0,0.0,479.344475
2023-01-21,93.554576,0.0,720.7040099999999,66.075837,0.0,3813.1136809,0.0,646.042916,231.59227618999998,265.204978,648.0498311,346.419834,753.399773,280.4879856,310.368128,376.2521642,26.28434118,66.075837,0.0,0.0,0.0,0.0,381.088872,0.0,93.554576,0.0,455.499032,0.0,619.404265,264.954044,0.0,0.0,200.024933,5.28300201,0.0,0.0,0.0,478.7317
2023-01-22,98.011133,0.0,733.7074660000001,55.129352,0.0,3718.6106543,0.0,635.386266,236.210285,264.805008,621.660434,317.580285,691.682555,253.9063587,317.266638,374.17371060000005,28.82729584,55.129352,0.0,0.0,0.0,0.0,381.098108,0.0,98.011133,0.0,468.902458,0.0,666.00304,254.288158,0.0,0.0,201.066986,6.31600316,0.0,0.0,0.0,476.337633
2023-01-23,97.831854,0.0,669.383792,71.339036,0.019941,3727.2687035,0.0,647.677261,250.1875533,265.618765,619.8921126,296.562338,746.790727,295.3119554,308.330796,298.6072035,31.29947582,71.339036,0.0,0.0,0.0,0.0,381.200336,0.0,97.831854,0.0,403.765027,0.0,683.633474,266.476925,0.019941,0.0,207.192075,11.69600248,0.0,0.0,0.0,478.140097
2023-01-24,97.614402,0.0,653.020548,71.277764,0.0,3817.7052343,0.0,627.8948109999999,242.55088897000002,265.240608,597.053702,319.577991,757.195163,316.4061867,296.478388,364.2701316,29.98043902,71.277764,0.0,0.0,0.0,0.0,349.878095,0.0,97.614402,0.0,387.77994,0.0,687.46045,278.016716,0.0,0.0,210.096451,2.4739989500000004,0.0,0.0,0.0,479.263222
2023-01-25,96.813519,0.0,603.470688,76.609485,0.0,4002.3781811999997,0.0,638.121397,234.40992018,265.216523,585.9943587,382.577748,894.836653,289.49749410000004,275.53404,403.0452704,27.63934318,76.609485,0.0,0.0,0.0,0.0,353.227064,0.0,96.813519,0.0,338.254165,0.0,691.19602,284.894333,0.0,0.0,206.770577,0.0,0.0,0.0,0.0,479.696597
2023-01-26,97.501194,0.0,593.8183650000001,98.620246,0.0,3777.3397478,0.0,653.7942869999999,231.21769723,265.487886,576.5821429,283.312471,786.3886,270.38937530000004,306.930995,388.93551360000004,27.34989523,98.620246,0.0,0.0,0.0,5.011137,352.849703,0.0,97.501194,0.0,328.330479,0.0,685.2143,295.933447,0.0,0.0,202.121802,1.746,0.0,0.0,0.0,479.58635
2023-01-27,81.49822,0.0,598.914806,93.266942,0.0,3571.2888043,0.0,666.302924,248.6522117,265.487863,592.5948727,291.015018,636.064271,271.3886721,311.131142,314.9445235,26.870791699999998,93.266942,0.0,0.0,0.0,7.514089,354.366802,0.0,81.49822,0.0,333.426943,0.0,681.437472,304.422033,0.0,0.0,199.77642,22.005,0.0,0.0,0.0,472.712833
2023-01-28,85.326723,0.0,578.773185,76.90773,1.256489,3648.2091516,0.0,651.8534149999999,235.61024759,263.500053,599.6814704,321.552737,654.675337,256.9252451,295.335065,373.3125951,27.57219305,76.90773,0.0,0.0,0.0,7.513822,354.125407,0.0,85.326723,0.0,315.273132,0.0,668.611699,290.214186,1.256489,0.0,195.94503,12.09302454,0.0,0.0,0.0,478.115003
2023-01-29,81.490258,0.0,610.829902,33.267358,0.004121,3744.5303884,0.0,630.810655,240.40148744,262.413276,620.5082057999999,338.434203,767.931941,225.96263430000002,295.84149,394.7455733,26.033133109999998,33.267358,0.0,0.0,0.0,7.516943,353.980837,0.0,81.490258,0.0,348.416626,0.0,620.947177,269.312875,0.004121,0.0,202.354357,12.01399733,0.0,0.0,0.0,480.159164
2023-01-30,78.903223,0.0,615.83445,76.684212,0.155567,3701.3090583999997,0.0,646.145424,231.43918348,265.062578,584.7353075,398.09729,679.283201,253.1438199,303.010959,398.361584,20.703087359999998,76.684212,0.0,0.0,0.0,7.512499,354.191848,0.0,78.903223,0.0,350.771872,0.0,607.782083,284.441077,0.155567,0.0,198.731085,12.005011119999999,0.0,0.0,0.0,476.894814
2023-01-31,82.897609,0.0,614.7838429999999,76.122992,0.149129,3754.5263322,0.0,642.276911,242.01892024,264.07247,636.1884663999999,492.337628,666.208847,224.3798345,309.468806,374.85619330000003,31.30446621,76.122992,0.0,0.0,0.0,7.515662,353.687805,0.0,82.897609,0.0,350.711373,0.0,574.810282,281.073444,0.149129,0.0,197.385477,13.328977029999999,0.0,0.0,0.0,476.276275
2023-02-01,83.090041,0.0,797.044926,76.201923,1.481621,3053.4635355,0.0,682.189773,283.17835555,281.536669,638.7884371,424.423161,65.494293,222.3321969,297.302311,377.6171515,20.111723100000003,76.201923,0.0,0.0,0.0,7.515826,357.895089,0.0,83.090041,0.0,515.508257,0.0,551.857568,316.778858,1.481621,0.0,253.372637,9.69399545,0.0,0.0,0.0,475.648417
2023-02-02,84.519708,0.0,913.282887,81.553317,0.563249,3760.5745886,0.0,711.143526,287.10940886,281.365097,574.040803,458.369293,730.330157,281.8463258,283.697391,407.9662328,20.95671233,81.553317,0.0,0.0,0.0,7.516596,352.844433,0.0,84.519708,0.0,631.91779,0.0,547.542819,350.782497,0.563249,0.0,253.957699,12.19499753,0.0,0.0,0.0,476.781567
2023-02-03,83.305635,0.0,958.942936,81.631548,0.0,3689.5339869,0.0,706.03036,303.20302649,281.566053,630.6336136,481.224185,799.535338,273.9571682,294.054444,366.2824261,19.9937308,81.631548,0.0,0.0,0.0,7.521763,352.937209,0.0,83.305635,0.0,677.376883,0.0,364.944209,345.571388,0.0,0.0,271.345293,11.86400269,0.0,0.0,0.0,478.902603
2023-02-04,82.402774,0.0,931.100214,59.960506,0.0,3664.2374898,0.0,699.000166,287.83447123,281.308128,638.0115901,423.252111,805.048761,251.4050972,298.900911,398.8986665,19.93124804,59.960506,0.0,0.0,0.0,7.505568,353.753721,0.0,82.402774,0.0,649.792086,0.0,373.884972,337.740877,0.0,0.0,254.990224,12.912999189999999,0.0,0.0,0.0,474.835381
2023-02-05,83.052837,0.0,928.391795,59.831355,0.0,3731.8181763000002,0.0,719.1965650000001,283.02730326,281.332425,610.9538523,383.798208,820.367472,270.7156168,291.585613,400.3681392,18.85675131,59.831355,0.0,0.0,0.0,7.522294,354.743933,0.0,83.052837,0.0,647.05937,0.0,478.114514,356.930338,0.0,0.0,254.238546,9.932005949999999,0.0,0.0,0.0,475.914761
