Date,corridor_BY,corridor_DZ,corridor_LY,corridor_MA,corridor_NO,corridor_RU-Baltic,corridor_TR,corridor_UA,corridor_DE,corridor_ES
Jan-15,20788,13780,5498,10042,121425,0,332,37147,0,0
Feb-15,14273,10511,6040,6217,117088,0,499,33229,0,0
Mar-15,31454,11475,7110,4564,100872,0,719,38706,0,0
Apr-15,37726,14409,7302,9551,88240,0,554,33728,0,0
May-15,42411,14417,7165,7519,93887,502,561,33484,0,0
Jun-15,39662,14019,7139,6606,86384,5015,223,27170,0,0
Jul-15,42960,13557,6373,9783,101167,5750,768,30865,0,0
Aug-15,27163,11989,6043,9598,103381,5749,773,28295,0,0
Sep-15,39220,11603,6449,8357,104318,3871,651,34632,0,0
Oct-15,39508,10291,6216,9447,115902,245,480,38410,0,0
Nov-15,36435,12332,5235,4148,114693,52,358,35782,0,0
Dec-15,38079,9714,4250,8826,116144,19,717,36006,0,0
Jan-16,36841,21222,4215,7719,127827,0,541,40146,0,0
Feb-16,35493,16235,4219,6489,118725,0,162,30252,0,0
Mar-16,38240,10359,4776,5227,123986,0,704,30363,0,0
Apr-16,39402,24401,4332,7606,113048,0,753,29379,0,0
May-16,40752,22109,3167,8334,105328,0,743,35402,0,0
Jun-16,38647,23064,4682,8921,94717,2397,749,33294,0,0
Jul-16,40848,22329,4174,9090,101512,4010,361,35680,0,0
Aug-16,27649,22019,3978,8965,86572,4707,649,32530,0,0
Sep-16,37413,14782,3895,8977,72729,4697,629,34443,0,0
Oct-16,41406,21029,4208,7013,125084,907,620,38075,0,0
Nov-16,39735,24325,4951,9108,117967,552,419,38144,0,0
Dec-16,42555,27880,4229,8617,124041,591,769,39147,0,0
Jan-17,40012,27356,5050,8025,137372,737,911,84916,54025,0
Feb-17,37214,24977,3725,7172,119138,618,325,72479,38656,0
Mar-17,38095,27277,3799,7621,127834,417,0,63106,42722,0
Apr-17,36405,19513,3236,6116,120186,455,655,72410,39799,0
May-17,37509,18233,4582,5852,111204,730,318,76825,41043,0
Jun-17,33468,13795,4190,5445,98466,576,577,73596,40063,0
Jul-17,34978,16464,4127,4767,115198,1046,672,73614,41271,0
Aug-17,30309,11992,3335,4289,112079,2294,625,86848,45131,0
Sep-17,34289,13931,3812,4700,109883,4738,592,83161,30906,0
Oct-17,38597,14085,5030,6877,126408,4103,482,67500,54408,0
Nov-17,38608,25470,4536,6886,128555,512,738,78269,52651,0
Dec-17,40432,25589,3646,7091,128392,363,627,75595,54369,0
Jan-18,40080,25559,3320,6784,130702,715,505,55211,54369,0
Feb-18,37134,24236,3630,6253,117753,498,323,55028,49108,0
Mar-18,41857,27403,5197,6915,125405,528,283,76013,54129,0
Apr-18,36399,12409,145,5863,117874,242,665,74824,52634,0
May-18,37310,12073,2314,5511,109052,215,647,69725,54333,0
Jun-18,34107,15249,4127,5558,100416,621,276,77473,52628,0
Jul-18,29043,15856,4093,7187,118232,3238,638,93415,31224,0
Aug-18,37211,13098,4193,7614,114869,3956,708,81019,54445,0
Sep-18,37080,15314,5383,6384,101438,4407,674,72475,52442,0
Oct-18,36974,23297,5610,7330,119579,2386,577,65031,54452,0
Nov-18,36192,21354,4812,7568,115776,986,616,69278,51942,0
Dec-18,38025,21844,4403,7348,121211,985,1134,73096,54714,0
Jan-19,39780,22806,4498,7858,128949,683,1104,72844,54457,0
Feb-19,35762,16282,4163,5753,109171,672,289,59188,49152,0
Mar-19,38905,10238,5062,4458,119776,56,0,69274,54349,0
Apr-19,31873,12928,5253,5578,107498,262,915,81303,52670,0
May-19,37115,14649,5841,5576,105706,2970,811,82546,54378,0
Jun-19,32328,12489,4939,5369,105929,3011,899,73910,52679,0
Jul-19,31779,12545,4905,4705,106361,4298,676,79390,31489,0
Aug-19,27244,12587,5535,4630,92706,3482,674,62094,54412,0
Sep-19,34929,12527,4692,3249,68121,3422,506,66397,50789,0
Oct-19,37985,12090,5352,6713,103429,1246,756,67603,52808,0
Nov-19,36981,11986,5170,7729,108435,58,367,78996,52421,0
Dec-19,38179,17050,4863,7765,114411,110,1115,78120,54189,0
Jan-20,31143,17752,3943,5187,109928,1718,6369,19923,54967,0
Feb-20,29182,11048,3565,4847,103629,1684,4254,35583,50911,0
Mar-20,29006,6546,4130,3713,113877,3059,5049,43327,54372,0
Apr-20,29146,10862,5709,3409,97552,2965,4035,41844,52679,0
May-20,25740,9760,4197,3740,89496,3899,4615,37377,54430,0
Jun-20,32167,9777,3446,3638,98089,3582,4415,37640,52724,0
Jul-20,28240,13675,4206,4919,103524,3867,6259,41659,32990,0
Aug-20,38031,14083,2655,4903,93859,3731,6124,28515,54431,0
Sep-20,35527,15291,4063,4885,98346,4657,6220,25154,52160,0
Oct-20,37008,20164,4584,7701,106337,3452,5163,52627,54711,0
Nov-20,36948,20720,3788,7279,109582,2718,7429,52429,52678,0
Dec-20,38330,24592,2869,6849,119856,3215,7865,56468,54348,0
Jan-21,40507,26058,3061,6103,117812,3094,14648,34867,54432,0
