Date,LNG_sendout(GWh/d)
2015-03-01,1465.1760000000002
2015-04-01,1265.1466666666668
2015-05-01,1251.3387096774193
2015-06-01,1135.7766666666669
2015-07-01,1105.6032258064515
2015-08-01,1149.8000000000002
2015-09-01,1186.7166666666667
2015-10-01,1319.8225806451612
2015-11-01,1194.0
2015-12-01,1144.2322580645161
2016-01-01,1190.2041720430109
2016-02-01,1236.1760860215054
2016-03-01,1282.1480000000001
2016-04-01,1310.07
2016-05-01,1225.2161290322579
2016-06-01,1207.1100000000001
2016-07-01,1434.4193548387098
2016-08-01,978.9967741935483
2016-09-01,1311.21
2016-10-01,1136.6967741935484
2016-11-01,1203.0533333333333
2016-12-01,1171.974193548387
2017-01-01,1309.8494623655913
2017-02-01,1447.7247311827955
2017-03-01,1585.6
2017-04-01,1681.5433333333335
2017-05-01,1646.1677419354837
2017-06-01,1475.7633333333333
2017-07-01,1739.2645161290322
2017-08-01,1551.9483870967742
2017-09-01,1396.1399999999999
2017-10-01,1129.4870967741936
2017-11-01,1407.5166666666667
2017-12-01,1325.9096774193547
2018-01-01,1320.5717849462364
2018-02-01,1315.2338924731182
2018-03-01,1309.896
2018-04-01,1410.1433333333334
2018-05-01,1614.593548387097
2018-06-01,1255.3433333333335
2018-07-01,1236.3193548387096
2018-08-01,1234.7548387096774
2018-09-01,1148.32
2018-10-01,2030.132258064516
2018-11-01,2456.6
2018-12-01,2229.251612903226
2019-01-01,2552.911741935484
2019-02-01,2876.571870967742
2019-03-01,3200.232
2019-04-01,3520.233333333333
2019-05-01,3268.5354838709677
2019-06-01,2839.49
2019-07-01,2626.9290322580646
2019-08-01,2367.7709677419352
2019-09-01,2484.713333333333
2019-10-01,2858.048387096774
2019-11-01,3791.6566666666668
2019-12-01,3431.8354838709674
2020-01-01,3413.2036559139783
2020-02-01,3394.571827956989
2020-03-01,3375.94
2020-04-01,3516.4066666666668
2020-05-01,3426.3
2020-06-01,2438.6666666666665
2020-07-01,2513.277419354839
2020-08-01,2167.751612903226
2020-09-01,2176.06
2020-10-01,1991.8193548387096
2020-11-01,2305.0033333333336
2020-12-01,1953.9903225806452
2021-01-01,2234.0842150537633
2021-02-01,2514.178107526882
2021-03-01,2794.272
2021-04-01,2960.3433333333332
2021-05-01,2500.490322580645
2021-06-01,2047.3899999999999
2021-07-01,1750.4451612903226
2021-08-01,1527.7129032258065
2021-09-01,1699.0533333333333
2021-10-01,1942.409677419355
2021-11-01,2460.04
2021-12-01,2450.9806451612903
2022-01-01,2811.292430107527
2022-02-01,3171.6042150537633
2022-03-01,3531.9159999999997
2022-04-01,3671.0533333333337
2022-05-01,3625.3032258064513
2022-06-01,3516.3933333333334
2022-07-01,3867.0709677419354
2022-08-01,3357.8612903225808
2022-09-01,3410.8766666666666
2022-10-01,3539.309677419355
2022-11-01,4086.4100000000003
2022-12-01,3975.8161290322582
2023-01-01,3760.298752688172
2023-02-01,3544.7813763440863
2023-03-01,3329.264
2023-04-01,4180.8533333333335
2023-05-01,4063.687096774194
2023-06-01,4047.2466666666664
2023-07-01,3651.203225806452
2023-08-01,3277.3999999999996
2023-09-01,3203.6433333333334
2023-10-01,3422.3
2023-11-01,4165.8966666666665
2023-12-01,3801.9129032258065
2024-01-01,3698.8526021505377
2024-02-01,3595.792301075269
2024-03-01,3492.732
2024-04-01,3671.0933333333332
2024-05-01,3092.329032258064
2024-06-01,2814.913333333333
2024-07-01,2755.203225806452
2024-08-01,2412.3870967741937
2024-09-01,2727.1433333333334
2024-10-01,2937.122580645161
2024-11-01,3260.5833333333335
2024-12-01,3497.4870967741936
2025-01-01,3755.966064516129
2025-02-01,4014.4450322580647
2025-03-01,4272.924
2025-04-01,4352.15
2025-05-01,4290.009677419354
2025-06-01,4246.833333333333
2025-07-01,3787.3225806451615
2025-08-01,3220.283870967742
2025-09-01,3906.983333333333
2025-10-01,4216.970967741936
2025-11-01,4312.179999999999
2025-12-01,4243.493548387097
2026-01-01,4261.512903225806
2026-02-01,4390.260714285714
2026-03-01,4530.764516129033
2026-04-01,4350.17
2026-05-01,3888.8387096774195
2026-06-01,3498.3700000000003
2026-07-01,2799.631034482759
