Date,Final_Consumption_Industry(MIO_M3)
2023-09-01,1710.318
2023-10-01,1766.076
2023-11-01,1749.768
2023-12-01,1795.591
2024-01-01,1811.249
2024-02-01,1771.346
2024-03-01,1878.916
2024-04-01,1809.655
2024-05-01,1827.514
2024-06-01,1680.469
2024-07-01,1717.734
2024-08-01,1453.835
2024-09-01,1739.484
2024-10-01,1814.339
2024-11-01,1784.084
2024-12-01,1695.413
2025-01-01,2028.085
2025-02-01,1904.613
2025-03-01,2014.713
2025-04-01,1824.725
2025-05-01,1863.767
2025-06-01,1773.673
2025-07-01,1829.604
2025-08-01,1523.168
2025-09-01,1831.786
2025-10-01,1946.945
2025-11-01,1956.199
2025-12-01,1844.977
2026-01-01,2021.158
2026-02-01,1886.883
2026-03-01,1987.99
2026-04-01,1890.259
2026-05-01,920.299
