Date,TTF
01/01/2015,19.85
01/02/2015,22.52
01/03/2015,21.86
01/04/2015,22.12
01/05/2015,20.51
01/06/2015,20.49
01/07/2015,20.86
01/08/2015,19.57
01/09/2015,19.17
01/10/2015,18.23
01/11/2015,17.18
01/12/2015,15.63
01/01/2016,13.91
01/02/2016,12.44
01/03/2016,12.25
01/04/2016,12.1
01/05/2016,13.05
01/06/2016,14.43
01/07/2016,14.25
01/08/2016,11.94
01/09/2016,12.27
01/10/2016,16.09
01/11/2016,18.04
01/12/2016,17.69
01/01/2017,20.14
01/02/2017,19.55
01/03/2017,15.8
01/04/2017,16.04
01/05/2017,15.65
01/06/2017,15.14
01/07/2017,15.1
01/08/2017,15.99
01/09/2017,17.25
,
,
,
,
,
,
,
