date,corridor_ES,point_Tarifa
2023-01-01,19.650828,19.650828
2023-01-02,19.593265,19.593265
2023-01-03,20.050105,20.050105
2023-01-04,19.687683,19.687683
2023-01-05,19.897961,19.897961
2023-01-06,19.543035,19.543035
2023-01-07,20.122464,20.122464
2023-01-08,20.017651,20.017651
2023-01-09,19.928436,19.928436
2023-01-10,19.747318,19.747318
2023-01-11,20.129914,20.129914
2023-01-12,19.178773,19.178773
2023-01-13,19.959063,19.959063
2023-01-14,19.698927,19.698927
2023-01-15,19.521802,19.521802
2023-01-16,21.716371,21.716371
2023-01-17,20.141694,20.141694
2023-01-18,19.614218,19.614218
2023-01-19,19.764698,19.764698
2023-01-20,19.917401,19.917401
2023-01-21,20.098961,20.098961
2023-01-22,18.700234,18.700234
2023-01-23,19.265508,19.265508
2023-01-24,18.894692,18.894692
2023-01-25,21.136302,21.136302
2023-01-26,17.890505,17.890505
2023-01-27,21.172924,21.172924
2023-01-28,0.489481,0.489481
2023-01-29,1.571208,1.571208
2023-01-30,1.377658,1.377658
2023-01-31,1.207633,1.207633
2023-02-01,0.0,0.0
2023-02-02,25.428637,25.428637
2023-02-03,25.508119,25.508119
2023-02-04,25.123649,25.123649
2023-02-05,20.197058,20.197058
2023-02-06,30.064175,30.064175
2023-02-07,30.013212,30.013212
2023-02-08,29.956486,29.956486
2023-02-09,30.027809,30.027809
2023-02-10,30.192525,30.192525
2023-02-11,30.300819,30.300819
2023-02-12,30.40966,30.40966
2023-02-13,29.26583,29.26583
2023-02-14,19.565082,19.565082
2023-02-15,20.036858,20.036858
2023-02-16,20.292069,20.292069
2023-02-17,19.30334,19.30334
2023-02-18,18.184538,18.184538
2023-02-19,24.638545,24.638545
2023-02-20,19.893863,19.893863
2023-02-21,19.944617,19.944617
2023-02-22,19.829886,19.829886
2023-02-23,19.980773,19.980773
2023-02-24,2.446289,2.446289
2023-02-25,33.987323,33.987323
2023-02-26,35.384386,35.384386
2023-02-27,18.576365,18.576365
2023-02-28,17.673696,17.673696
2023-03-01,16.215857,16.215857
2023-03-02,34.521097,34.521097
2023-03-03,32.607466,32.607466
2023-03-04,32.01827,32.01827
2023-03-05,32.750088,32.750088
2023-03-06,31.91625,31.91625
2023-03-07,32.338914,32.338914
2023-03-08,31.939334,31.939334
2023-03-09,38.319283,38.319283
2023-03-10,24.982715,24.982715
2023-03-11,24.965615,24.965615
2023-03-12,25.008383,25.008383
2023-03-13,31.752465,31.752465
2023-03-14,28.576419,28.576419
2023-03-15,31.900279,31.900279
2023-03-16,30.098969,30.098969
2023-03-17,29.738607,29.738607
2023-03-18,30.079168,30.079168
2023-03-19,29.981118,29.981118
2023-03-20,30.122262,30.122262
2023-03-21,19.909858,19.909858
2023-03-22,25.048788,25.048788
2023-03-23,19.986721,19.986721
2023-03-24,20.022505,20.022505
2023-03-25,20.175255,20.175255
2023-03-26,25.166825,25.166825
2023-03-27,26.157742,26.157742
2023-03-28,25.116874,25.116874
2023-03-29,23.739322,23.739322
2023-03-30,22.407168,22.407168
2023-03-31,25.339585,25.339585
2023-04-01,19.722419,19.722419
2023-04-02,30.114323,30.114323
2023-04-03,25.105583,25.105583
2023-04-04,31.107848,31.107848
2023-04-05,27.582522,27.582522
2023-04-06,28.510241,28.510241
2023-04-07,28.228559,28.228559
2023-04-08,27.566318,27.566318
2023-04-09,28.04488,28.04488
2023-04-10,28.14265,28.14265
2023-04-11,28.135293,28.135293
2023-04-12,27.970565,27.970565
