date,corridor_BY,corridor_DE,corridor_DZ,corridor_LY,corridor_NO,corridor_RU-Baltic,corridor_TR,corridor_UA,point_Almería,point_Dornum / NETRA (OGE),point_Dunkerque,point_Easington,point_Emden (EPT1) (GTS),point_Emden (EPT1) (GUD),point_Emden (EPT1) (OGE),point_GCP GAZ-SYSTEM/UA TSO,point_Gela,point_Greifswald / NEL,point_Isaccea (RO) - Orlovka (UA) II,point_Kipi (TR) / Kipi (GR),point_Kipoi,point_Kotlovka,point_Luhamaa,point_Mazara del Vallo,point_St. Fergus,point_Strandzha 2 (BG) / Malkoclar (TR),point_Uzhhorod (UA) - Velké Kapušany (SK),point_VIP Bereg (HU) / VIP Bereg (UA),point_VIP Mediesu Aurit - Isaccea (RO-UA),point_Zeebrugge ZPT
2026-01-01,87.555278,0.0,945.5486510000001,16.421738,3861.1186051,0.0,916.3899899999999,227.66058463000002,328.360614,610.6597444,248.009462,849.040368,111.063491,327.145805,436.5868817,130.4436804,16.421738,0.0,0.0,0.0,345.833782,87.555278,0.0,617.188037,800.132047,570.556208,0.0,97.21690423,0.0,478.480806
2026-01-02,89.593889,0.0,942.127611,16.493674,3898.0487317,0.0,899.7804819999999,228.98089119,327.701287,613.1055217,298.411833,848.523123,102.486067,325.30781,426.799503,131.4509498,16.493674,0.0,0.0,0.0,345.91681,89.593889,0.0,614.426324,803.915344,553.863672,0.0,97.52994139,0.0,479.49953
2026-01-03,90.02,0.0,948.9611179999999,16.445301,3826.4782811,0.0,886.7441980000001,231.78853656,327.751644,607.9949948,289.833373,849.21131,103.081167,325.624161,428.3907583,133.8866935,16.445301,0.0,0.0,0.0,328.373171,90.02,0.0,621.209474,740.728577,558.371027,0.0,97.90184306,0.0,481.61394
2026-01-04,103.400278,0.0,944.494079,16.398088,3816.9389688,0.0,885.510944,231.15291128,328.109999,598.1670435,273.167557,849.821806,98.907437,320.295145,433.0299153,133.98653190000002,16.398088,0.0,0.0,0.0,328.692803,103.400278,0.0,616.38408,762.512418,556.818141,0.0,97.16637938,0.0,481.037647
2026-01-05,89.290833,0.0,973.3986480000001,16.382303,3805.9440549,0.0,880.837638,228.23078726,327.886864,576.3573928,375.54118,846.648458,74.840506,326.05255,427.5269761,131.3479692,16.382303,0.0,0.0,0.0,328.273733,89.290833,0.0,645.511784,697.731776,552.563905,0.0,96.88281806,0.0,481.245216
2026-01-06,95.888333,0.0,975.891708,16.402982,3828.4885153,0.0,880.400781,222.49940270000002,328.411195,602.7659019,347.191886,844.520797,103.403188,312.509555,407.8560794,121.8976905,16.402982,0.0,0.0,0.0,328.563565,95.888333,0.0,647.480513,728.166677,551.837216,0.0,100.60171220000001,0.0,482.074431
2026-01-07,109.467778,0.0,962.810743,16.42183,3804.2840226,0.0,876.1651119999999,220.21277137,328.685409,603.2865992000001,405.358173,841.322548,112.905012,326.467572,430.1586724,121.31147490000001,16.42183,0.0,0.0,0.0,329.138074,109.467778,0.0,634.125334,602.365382,547.027038,0.0,98.90129647,0.0,482.420064
2026-01-08,107.535833,0.0,943.914993,21.962933,3710.6122003,0.0,893.7873920000001,220.36639881000002,326.299628,553.083441,304.331201,845.98785,123.799585,324.009088,359.07318430000004,121.04242020000001,21.962933,0.0,0.0,0.0,328.282756,107.535833,0.0,617.615365,718.050357,565.504636,0.0,99.32397861,0.0,482.277494
2026-01-09,100.356111,0.0,956.5321590000001,10.923163,3817.8554109,0.0,907.376047,220.58684449999998,330.824267,607.615479,335.332232,843.387488,120.493905,300.546039,430.8790939,121.03972540000001,10.923163,0.0,0.0,0.0,328.346625,100.356111,0.0,625.707892,697.292129,579.029422,0.0,99.54711909999999,0.0,482.309045
2026-01-10,104.3,0.0,983.545732,10.926265,3745.7731326,0.0,894.000722,219.69372682,330.412621,595.0585761,352.760825,838.786091,111.417017,321.686757,417.2294495,121.0157083,10.926265,0.0,0.0,0.0,328.337095,104.3,0.0,653.133111,618.995732,565.663627,0.0,98.67801852,0.0,489.838685
2026-01-11,113.455556,0.0,981.185798,10.940207,3764.3270664,0.0,902.828716,217.51882289000002,330.220112,590.6895816,338.134628,841.33175,119.820364,327.26183,433.6985838,120.8585905,10.940207,0.0,0.0,0.0,328.338566,113.455556,0.0,650.965686,621.712084,574.49015,0.0,96.66023239,0.0,491.678245
2026-01-12,103.626944,0.0,957.503931,11.574476,3743.8121296,0.0,919.9411499999999,232.6210774,330.114571,575.9943716,309.998997,837.241165,109.927562,326.981919,436.798009,128.8872126,11.574476,0.0,0.0,0.0,333.2299,103.626944,0.0,627.38936,654.401123,586.71125,0.0,103.73386479999999,0.0,492.468983
2026-01-13,101.939722,0.0,954.9134099999999,5.498607,3680.6231398,0.0,897.348863,223.3848125,329.288937,548.4058101,253.98678,840.747855,101.40556,327.423485,437.0238107,119.2866874,5.498607,0.0,0.0,0.0,310.881072,101.939722,0.0,625.624473,680.577,586.467791,0.0,104.09812509999999,0.0,491.052839
2026-01-14,103.970278,0.0,965.965058,5.463856,3709.1509752,0.0,919.551852,233.30573947,330.408232,558.5929453,204.338161,845.354892,101.322365,327.214439,437.60899689999997,135.4246568,5.463856,0.0,0.0,0.0,333.125014,103.970278,0.0,635.556826,744.962192,586.426838,0.0,97.88108267,0.0,489.756984
2026-01-15,100.918611,0.0,961.681219,5.460642,3728.6361570999998,0.0,919.952156,207.92477545000003,328.49193,588.9086935,198.240672,845.752966,101.710671,327.466211,426.14354760000003,110.0261603,5.460642,0.0,0.0,0.0,333.259687,100.918611,0.0,633.189289,751.300853,586.692469,0.0,97.89861515000001,0.0,489.112543
2026-01-16,107.142222,0.0,957.373569,5.463149,3751.4495716,0.0,919.720489,211.7941282,330.524171,604.5091143,204.391597,849.967448,103.943206,327.486485,428.2724423,107.79413290000001,5.463149,0.0,0.0,0.0,333.161184,107.142222,0.0,626.849398,745.18798,586.559305,0.0,103.9999953,0.0,487.691299
2026-01-17,108.645556,0.0,973.656473,10.915667,3768.8778437,0.0,914.006475,215.29268260000003,330.20361,586.8162174,209.210094,849.691971,114.496177,320.576416,433.2871503,114.44169690000001,10.915667,0.0,0.0,0.0,331.390681,108.645556,0.0,643.452863,764.702954,582.615794,0.0,100.85098570000001,0.0,490.096864
2026-01-18,111.49,0.0,990.2021080000001,10.909488,3736.7070563,0.0,918.143633,215.8433986,331.501254,570.2427267,189.577095,850.012227,111.770563,327.32079,433.2380436,115.65429420000001,10.909488,0.0,0.0,0.0,331.282953,111.49,0.0,658.700854,765.505359,586.86068,0.0,100.1891044,0.0,489.040252
