date,corridor_ES,point_Tarifa
2025-01-01,23.854844,23.854844
2025-01-02,24.165652,24.165652
2025-01-03,23.647744,23.647744
2025-01-04,23.718217,23.718217
2025-01-05,23.202241,23.202241
2025-01-06,24.077927,24.077927
2025-01-07,24.453155,24.453155
2025-01-08,24.332231,24.332231
2025-01-09,23.679255,23.679255
2025-01-10,24.014858,24.014858
2025-01-11,23.610086,23.610086
2025-01-12,20.874921,20.874921
2025-01-13,25.615121,25.615121
2025-01-14,20.440279,20.440279
2025-01-15,22.706765,22.706765
2025-01-16,18.254673,18.254673
2025-01-17,16.908399,16.908399
2025-01-18,11.590423,11.590423
2025-01-19,31.632508,31.632508
2025-01-20,20.571598,20.571598
2025-01-21,19.580099,19.580099
2025-01-22,19.401402,19.401402
2025-01-23,19.584953,19.584953
2025-01-24,20.924825,20.924825
2025-01-25,19.55258,19.55258
2025-01-26,20.173706,20.173706
2025-01-27,21.331925,21.331925
2025-01-28,19.413799,19.413799
2025-01-29,11.903291,11.903291
2025-01-30,14.843938,14.843938
2025-01-31,22.328628,22.328628
2025-02-01,25.713753,25.713753
2025-02-02,22.065291,22.065291
2025-02-03,23.842645,23.842645
2025-02-04,23.749146,23.749146
2025-02-05,30.947252,30.947252
2025-02-06,27.731465,27.731465
2025-02-07,22.957972,22.957972
2025-02-08,15.951868,15.951868
2025-02-09,28.443901,28.443901
2025-02-10,27.425453,27.425453
2025-02-11,24.490137,24.490137
2025-02-12,26.155868,26.155868
2025-02-13,21.436971,21.436971
2025-02-14,26.765447,26.765447
2025-02-15,24.843119,24.843119
2025-02-16,25.034726,25.034726
2025-02-17,27.506659,27.506659
2025-02-18,27.667476,27.667476
2025-02-19,30.284965,30.284965
2025-02-20,31.156925,31.156925
2025-02-21,24.709623,24.709623
2025-02-22,23.703538,23.703538
2025-02-23,25.304092,25.304092
2025-02-24,25.320645,25.320645
2025-02-25,20.851535,20.851535
2025-02-26,24.493606,24.493606
2025-02-27,24.392716,24.392716
2025-02-28,23.798782,23.798782
2025-04-01,23.985267,23.985267
2025-04-02,23.720906,23.720906
2025-04-03,23.721849,23.721849
2025-04-04,21.650147,21.650147
2025-04-05,21.486234,21.486234
2025-04-06,23.692433,23.692433
2025-04-07,26.556239,26.556239
2025-04-08,26.509188,26.509188
2025-04-09,26.503204,26.503204
2025-04-10,26.512238,26.512238
2025-04-11,26.513355,26.513355
2025-04-12,26.502052,26.502052
2025-04-13,26.506417,26.506417
2025-04-14,23.759867,23.759867
2025-04-15,23.54832,23.54832
2025-04-16,23.732221,23.732221
2025-04-17,18.87701,18.87701
2025-04-18,22.436374,22.436374
2025-04-19,23.728787,23.728787
2025-04-20,23.273681,23.273681
2025-04-21,28.300929,28.300929
2025-04-22,23.340219,23.340219
2025-04-23,23.745724,23.745724
2025-04-24,26.41818,26.41818
2025-04-25,25.002551,25.002551
2025-04-26,23.794685,23.794685
2025-04-27,24.064389,24.064389
2025-04-28,19.953894,19.953894
2025-04-29,29.094734,29.094734
2025-04-30,22.35163,22.35163
2025-05-01,27.971357,27.971357
2025-05-02,29.009024,29.009024
2025-05-03,28.408967,28.408967
2025-05-04,27.179158,27.179158
2025-05-05,27.49198,27.49198
2025-05-06,27.954874,27.954874
2025-05-07,27.966375,27.966375
2025-05-08,29.366802,29.366802
2025-05-09,27.969867,27.969867
2025-05-10,27.940812,27.940812
2025-05-11,27.939135,27.939135
2025-05-12,27.910441,27.910441
2025-05-13,28.728866,28.728866
2025-05-14,28.45929,28.45929
2025-05-15,27.95286,27.95286
2025-05-16,27.93278,27.93278
2025-05-17,28.654552,28.654552
2025-05-18,29.388453,29.388453
2025-05-19,26.850541,26.850541
2025-05-20,27.815581,27.815581
2025-05-21,27.95073,27.95073
2025-05-22,27.95265,27.95265
2025-05-23,23.611727,23.611727
2025-05-24,23.591263,23.591263
2025-05-25,23.354386,23.354386
2025-05-26,23.143141,23.143141
2025-05-27,22.890316,22.890316
2025-05-28,23.041762,23.041762
2025-05-29,22.371314,22.371314
2025-05-30,23.453704,23.453704
2025-05-31,23.762207,23.762207
2025-06-01,27.47488,27.47488
2025-06-02,25.31784,25.31784
2025-06-03,27.671212,27.671212
2025-06-04,4.27173,4.27173
2025-06-05,22.422452,22.422452
2025-06-06,27.672446,27.672446
2025-06-07,26.844371,26.844371
2025-06-08,27.493249,27.493249
2025-06-09,26.549616,26.549616
2025-06-10,27.663192,27.663192
2025-06-11,26.446921,26.446921
2025-06-12,26.710665,26.710665
2025-06-13,27.364782,27.364782
2025-06-14,27.388831,27.388831
2025-06-15,27.370916,27.370916
2025-06-16,31.628247,31.628247
2025-06-17,31.809004,31.809004
2025-06-18,31.725866,31.725866
2025-06-19,32.289126,32.289126
2025-06-20,32.19238,32.19238
2025-06-21,31.357111,31.357111
2025-06-22,30.721038,30.721038
2025-06-23,31.666568,31.666568
2025-06-24,32.823541,32.823541
2025-06-25,30.523565,30.523565
2025-06-26,32.355223,32.355223
2025-06-27,31.765165,31.765165
2025-06-28,31.576807,31.576807
2025-06-29,30.737009,30.737009
2025-06-30,32.020516,32.020516
2025-07-01,32.116564,32.116564
2025-07-02,31.022044,31.022044
2025-07-03,31.340279,31.340279
2025-07-04,31.117941,31.117941
2025-07-05,30.764935,30.764935
2025-07-06,32.114981,32.114981
2025-07-07,32.176665,32.176665
2025-07-08,30.123263,30.123263
2025-07-09,31.405606,31.405606
2025-07-10,32.276391,32.276391
2025-07-11,30.783619,30.783619
2025-07-12,32.312373,32.312373
2025-07-13,31.299862,31.299862
2025-07-14,30.720072,30.720072
2025-07-15,32.282689,32.282689
2025-07-16,32.434833,32.434833
2025-07-17,32.129078,32.129078
2025-07-18,31.89042,31.89042
2025-07-19,30.738499,30.738499
2025-07-20,30.730351,30.730351
2025-07-21,30.80768,30.80768
2025-07-22,33.055413,33.055413
2025-07-23,32.143198,32.143198
2025-07-24,31.733421,31.733421
2025-07-25,32.099406,32.099406
2025-07-26,31.053171,31.053171
2025-07-27,31.209832,31.209832
2025-07-28,30.240299,30.240299
2025-07-29,30.993827,30.993827
2025-07-30,31.53845,31.53845
2025-07-31,30.561118,30.561118
2025-09-01,29.494198,29.494198
2025-09-02,28.800713,28.800713
2025-09-03,28.076484,28.076484
2025-09-04,28.640024,28.640024
2025-09-05,28.509741,28.509741
2025-09-06,28.521836,28.521836
2025-09-07,30.585854,30.585854
2025-09-08,28.676669,28.676669
2025-09-09,26.257818,26.257818
2025-09-10,28.817615,28.817615
2025-09-11,29.919434,29.919434
2025-09-12,28.746083,28.746083
2025-09-13,27.970158,27.970158
2025-09-14,29.862429,29.862429
2025-09-15,29.075632,29.075632
2025-09-16,28.201983,28.201983
2025-09-17,31.169975,31.169975
2025-09-18,33.457018,33.457018
2025-09-19,31.99521,31.99521
2025-09-20,31.449387,31.449387
2025-09-21,30.858538,30.858538
2025-09-22,30.314392,30.314392
2025-09-23,32.571577,32.571577
2025-09-24,32.970319,32.970319
2025-09-25,33.018756,33.018756
2025-09-26,29.66087,29.66087
2025-09-27,32.781308,32.781308
2025-09-28,34.897966,34.897966
2025-09-29,29.505908,29.505908
