Date,corridor_BY,corridor_DZ,corridor_LY,corridor_MA,corridor_NO,corridor_RU-Baltic,corridor_TR,corridor_UA,corridor_DE
Jan-15,"20,788","13,780",5498,"10,042","121,425",0,332,"37,147",0
Feb-15,"14,273","10,511",6040,"6,217","117,088",0,499,"33,229",0
Mar-15,"31,454","11,475",7110,"4,564","100,872",0,719,"38,706",0
Apr-15,"37,726","14,409",7302,"9,551","88,240",0,554,"33,728",0
May-15,"42,411","14,417",7165,"7,519","93,887",502,561,"33,484",0
Jun-15,"39,662","14,019",7139,"6,606","86,384","5,015",223,"27,170",0
Jul-15,"42,960","13,557",6373,"9,783","101,167","5,750",768,"30,865",0
Aug-15,"27,163","11,989",6043,"9,598","103,381","5,749",773,"28,295",0
Sep-15,"39,220","11,603",6449,"8,357","104,318","3,871",651,"34,632",0
Oct-15,"39,508","10,291",6216,"9,447","115,902",245,480,"38,410",0
Nov-15,"36,435","12,332",5235,"4,148","114,693",52,358,"35,782",0
Dec-15,"38,079","9,714",4250,"8,826","116,144",19,717,"36,006",0
Jan-16,"36,841","21,222",4215,"7,719","127,827",0,541,"40,146",0
Feb-16,"35,493","16,235",4219,"6,489","118,725",0,162,"30,252",0
Mar-16,"38,240","10,359",4776,"5,227","123,986",0,704,"30,363",0
Apr-16,"39,402","24,401",4332,"7,606","113,048",0,753,"29,379",0
May-16,"40,752","22,109",3167,"8,334","105,328",0,743,"35,402",0
Jun-16,"38,647","23,064",4682,"8,921","94,717","2,397",749,"33,294",0
Jul-16,"40,848","22,329",4174,"9,090","101,512","4,010",361,"35,680",0
Aug-16,"27,649","22,019",3978,"8,965","86,572","4,707",649,"32,530",0
Sep-16,"37,413","14,782",3895,"8,977","72,729","4,697",629,"34,443",0
Oct-16,"41,406","21,029",4208,"7,013","125,084",907,620,"38,075",0
Nov-16,"39,735","24,325",4951,"9,108","117,967",552,419,"38,144",0
Dec-16,"42,555","27,880",4229,"8,617","124,041",591,769,"39,147",0
Jan-17,"40,012","27,356",5050,"8,025","137,372",737,911,"84,916",54025
Feb-17,"37,214","24,977",3725,"7,172","119,138",618,325,"72,479",38656
Mar-17,"38,095","27,277",3799,"7,621","127,834",417,0,"63,106",42722
Apr-17,"36,405","19,513",3236,"6,116","120,186",455,655,"72,410",39799
May-17,"37,509","18,233",4582,"5,852","111,204",730,318,"76,825",41043
Jun-17,"33,468","13,795",4190,"5,445","98,466",576,577,"73,596",40063
Jul-17,"34,978","16,464",4127,"4,767","115,198","1,046",672,"73,614",41271
Aug-17,"30,309","11,992",3335,"4,289","112,079","2,294",625,"86,848",45131
Sep-17,"34,289","13,931",3812,"4,700","109,883","4,738",592,"83,161",30906
Oct-17,"38,597","14,085",5030,"6,877","126,408","4,103",482,"67,500",54408
Nov-17,"38,608","25,470",4536,"6,886","128,555",512,738,"78,269",52651
Dec-17,"40,432","25,589",3646,"7,091","128,392",363,627,"75,595",54369
Jan-18,"40,080","25,559",3320,"6,784","130,702",715,505,"55,211",54369
Feb-18,"37,134","24,236",3630,"6,253","117,753",498,323,"55,028",49108
Mar-18,"41,857","27,403",5197,"6,915","125,405",528,283,"76,013",54129
Apr-18,"36,399","12,409",145,"5,863","117,874",242,665,"74,824",52634
May-18,"37,310","12,073",2314,"5,511","109,052",215,647,"69,725",54333
Jun-18,"34,107","15,249",4127,"5,558","100,416",621,276,"77,473",52628
Jul-18,"29,043","15,856",4093,"7,187","118,232","3,238",638,"93,415",31224
Aug-18,"37,211","13,098",4193,"7,614","114,869","3,956",708,"81,019",54445
Sep-18,"37,080","15,314",5383,"6,384","101,438","4,407",674,"72,475",52442
Oct-18,"36,974","23,297",5610,"7,330","119,579","2,386",577,"65,031",54452
Nov-18,"36,192","21,354",4812,"7,568","115,776",986,616,"69,278",51942
Dec-18,"38,025","21,844","4,403","7,348","121,211",985,1134,"73,096",54714
Jan-19,"39,780","22,806","4,498","7,858","128,949",683,1104,"72,844",54457
Feb-19,"35,762","16,282",4163,"5,753","109,171",672,289,"59,188",49152
Mar-19,"38,905","10,238",5062,"4,458","119,776",56,0,"69,274",54349
Apr-19,"31,873","12,928",5253,"5,578","107,498",262,915,"81,303",52670
May-19,"37,115","14,649",5841,"5,576","105,706","2,970",811,"82,546",54378
Jun-19,"32,328","12,489",4939,"5,369","105,929","3,011",899,"73,910",52679
Jul-19,"31,779","12,545",4905,"4,705","106,361","4,298",676,"79,390",31489
Aug-19,"27,244","12,587",5535,"4,630","92,706","3,482",674,"62,094",54412
Sep-19,"34,929","12,527",4692,"3,249","68,121","3,422",506,"66,397",50789
Oct-19,"37,985","12,090",5352,"6,713","103,429","1,246",756,"67,603",52808
Nov-19,"36,981","11,986",5170,"7,729","108,435",58,367,"78,996",52421
Dec-19,"38,179","17,050",4863,"7,765","114,411",110,1115,"78,120",54189
Jan-20,"31,143","17,752",3943,"5,187","109,928","1,718",6369,"19,923",54967
Feb-20,"29,182","11,048",3565,"4,847","103,629","1,684",4254,"35,583",50911
Mar-20,"29,006","6,546",4130,"3,713","113,877","3,059",5049,"43,327",54372
Apr-20,"29,146","10,862",5709,"3,409","97,552","2,965",4035,"41,844",52679
May-20,"25,740","9,760",4197,"3,740","89,496","3,899",4615,"37,377",54430
Jun-20,"32,167","9,777",3446,"3,638","98,089","3,582",4415,"37,640",52724
Jul-20,"28,240","13,675",4206,"4,919","103,524","3,867",6259,"41,659",32990
Aug-20,"38,031","14,083",2655,"4,903","93,859","3,731",6124,"28,515",54431
Sep-20,"35,527","15,291",4063,"4,885","98,346","4,657",6220,"25,154",52160
Oct-20,"37,008","20,164",4584,"7,701","106,337","3,452",5163,"52,627",54711
Nov-20,"36,948","20,720",3788,"7,279","109,582","2,718",7429,"52,429",52678
Dec-20,"38,330","24,592",2869,"6,849","119,856","3,215",7865,"56,468",54348
Jan-21,"40,507","26,058",3061,"6,103","117,812","3,094",14648,"34,867","54,432"
